,postcode,borough,neighbourhood_list,latitude,longitude,merge_key,name,ven_categories,ven_latitude,ven_longitude,ven_postalcode
0,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Pho Com Viet Nam,Vietnamese,43.75663119859895,-79.51833633068185,M3N 2V3
1,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Pizza Hut,Pizza,43.75633958118749,-79.51781778764257,M3N 2V3
2,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,KFC,Fast Food,43.7566,-79.5181,M3N 2V3
3,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,The Beer Store,Beer Store,43.7560941,-79.5162392,M3N 2V3
4,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Subway,Sandwiches,43.75617104020033,-79.5182508987524,M3N 2V3
5,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Tim Hortons,Coffee Shop,43.75434420900222,-79.52702411134463,M3N 1N1
6,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Tim Hortons,Coffee Shop,43.7561284,-79.5162657,M3N 2K1
7,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Pho Mi Viet Hoa,Vietnamese,43.7519356619472,-79.51597892461835,M3N 2J5
8,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Planet Fitness,Gym / Fitness,43.757538,-79.51961,
9,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Hwy 400 at Finch W.,Road,43.75439885206936,-79.52696696364671,
10,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Jian Hing Supermarket,Grocery Store,43.75667320052111,-79.51844367991136,M3N 2K2
0,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998,1,Oakdale Golf and Country Club,Golf Course,43.727966085004844,-79.52231249726017,
1,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998,1,Commercial Bakeries,Bakery,43.7279474149062,-79.52232014925207,
2,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998,1,Hwy 401 & Hwy 400,Intersection,43.72797242773429,-79.5223015286055,
3,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998,1,auctionmaxx,Discount Store,43.72710081596881,-79.52517301758158,M9M 2W6
0,M5A,Downtown Toronto,Harbourfront,43.6542599,-79.3606359,2,Trattoria Leonardo,Italian,43.65289339411601,-79.52529976414611,
1,M5A,Downtown Toronto,Harbourfront,43.6542599,-79.3606359,2,Montgomery's Inn Museum,History Museum,43.651831023293425,-79.525597213862,
2,M5A,Downtown Toronto,Harbourfront,43.6542599,-79.3606359,2,Kingsway Offleash Dig Park,Dog Run,43.651777088181596,-79.51748287861362,
3,M5A,Downtown Toronto,Harbourfront,43.6542599,-79.3606359,2,Lenny's,Italian,43.65275282508091,-79.52551486631664,
0,M6A,North York,"Lawrence Heights,Lawrence Manor",43.718517999999996,-79.46476329999999,3,The Davey Tree Expert Company,Construction,43.71933285,-79.51904169,M3L 1G9
1,M6A,North York,"Lawrence Heights,Lawrence Manor",43.718517999999996,-79.46476329999999,3,Fiera Foods,Bakery,43.71894579794069,-79.5259211134858,
2,M6A,North York,"Lawrence Heights,Lawrence Manor",43.718517999999996,-79.46476329999999,3,Country Style,Coffee Shop,43.718968612032626,-79.51541594980596,
3,M6A,North York,"Lawrence Heights,Lawrence Manor",43.718517999999996,-79.46476329999999,3,Pelmo Community Centre,Outdoors & Recreation,43.71441852002091,-79.51989309816359,
0,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,COBS Bread,Bakery,43.664940367690775,-79.5204847956449,M9A 3T7
1,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,Shoppers Drug Mart,Pharmacy,43.661721,-79.518881,M9A 3T7
2,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,Bulk Barn,Supermarket,43.66093887342527,-79.51777280977804,
3,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,LCBO,Liquor Store,43.66129764810834,-79.51815020642661,M9A 3T6
4,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,Loblaws,Grocery Store,43.661721,-79.518881,M9A 3T7
5,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,Humbertown Shopping Centre,Mall,43.66179660557881,-79.51686144733992,M9A 3T7
6,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,Black's Photography,Camera Store,43.661490294225544,-79.51931662775152,M9A 3T7
7,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,Humbertown Village Spa,Spa,43.661428039626685,-79.5192891766887,M9A 3T7
8,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,Baskin-Robbins,Ice Cream,43.661654485684906,-79.51919035279421,M9A
9,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,Alex Farm Produce,Restaurant,43.66152815366217,-79.51889937070585,
10,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,Daisaky,Japanese,43.66237993188327,-79.51967349081686,
11,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,Humbertown Convenience,Convenience Store,43.66492858170565,-79.52048054521903,
12,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,Second Cup,Coffee Shop,43.66227280880637,-79.5192342745383,
13,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,Humber Valley Rink,Skating Rink,43.66482600084906,-79.5248725529118,
14,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,Humber Valley Park,Park,43.66482484362267,-79.52499882000663,
15,M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938,4,TTC Stop #6972,Bus Stop,43.666139,-79.519814,
0,M9A,Queen's Park,Queen's Park,43.6678556,-79.53224240000002,5,COBS Bread,Bakery,43.664940367690775,-79.5204847956449,M9A 3T7
1,M9A,Queen's Park,Queen's Park,43.6678556,-79.53224240000002,5,TTC Stop #6972,Bus Stop,43.666139,-79.519814,
2,M9A,Queen's Park,Queen's Park,43.6678556,-79.53224240000002,5,Humbertown Convenience,Convenience Store,43.66492858170565,-79.52048054521903,
3,M9A,Queen's Park,Queen's Park,43.6678556,-79.53224240000002,5,Humber Valley Rink,Skating Rink,43.66482600084906,-79.5248725529118,
4,M9A,Queen's Park,Queen's Park,43.6678556,-79.53224240000002,5,Edgehill House,Park,43.670761782876156,-79.51687894119398,
5,M9A,Queen's Park,Queen's Park,43.6678556,-79.53224240000002,5,Humber Valley Park,Park,43.66482484362267,-79.52499882000663,
0,M1B,Scarborough,"Rouge,Malvern",43.806686299999996,-79.19435340000001,6,St. Joseph's,Print Shop,43.804702869879684,-79.52368124171912,
1,M1B,Scarborough,"Rouge,Malvern",43.806686299999996,-79.19435340000001,6,Chair Source,Furniture / Home,43.8039382,-79.5257269,L4K 5Y3
2,M1B,Scarborough,"Rouge,Malvern",43.806686299999996,-79.19435340000001,6,North Toronto Paints,Construction,43.80416,-79.52598,L4K 4L7
3,M1B,Scarborough,"Rouge,Malvern",43.806686299999996,-79.19435340000001,6,Sarana Tile,Furniture / Home,43.80686753526258,-79.52709268522327,L4K 5P2
0,M3B,North York,Don Mills North,43.745905799999996,-79.352188,7,Commisso Bakery,Tea Room,43.748678,-79.51726151,M3N 1H7
1,M3B,North York,Don Mills North,43.745905799999996,-79.352188,7,Eddystone Meats,Food & Drink,43.74759737621367,-79.52158954711045,M3N 1H8
2,M3B,North York,Don Mills North,43.745905799999996,-79.352188,7,Fennimore Park,Park,43.745397946352256,-79.52228307723999,
3,M3B,North York,Don Mills North,43.745905799999996,-79.352188,7,Auto Collision Centre Ltd,Auto Garage,43.748722,-79.51824,
0,M4B,East York,"Woodbine Gardens,Parkview Hill",43.7063972,-79.309937,8,Elm Park,Park,43.70613889238497,-79.51586870967138,
1,M4B,East York,"Woodbine Gardens,Parkview Hill",43.7063972,-79.309937,8,Olympic convenience store,Convenience Store,43.70448603955921,-79.51578933384089,
2,M4B,East York,"Woodbine Gardens,Parkview Hill",43.7063972,-79.309937,8,Eggsmart,Breakfast,43.70227,-79.523103,
0,M5B,Downtown Toronto,"Ryerson,Garden District",43.6571618,-79.37893709999999,9,Bulk Barn,Supermarket,43.66093887342527,-79.51777280977804,
1,M5B,Downtown Toronto,"Ryerson,Garden District",43.6571618,-79.37893709999999,9,Humbertown Village Spa,Spa,43.661428039626685,-79.5192891766887,M9A 3T7
2,M5B,Downtown Toronto,"Ryerson,Garden District",43.6571618,-79.37893709999999,9,Black's Photography,Camera Store,43.661490294225544,-79.51931662775152,M9A 3T7
0,M6B,North York,Glencairn,43.709577,-79.44507259999999,10,Wallace C. Swanek Park,Park,43.708896432967165,-79.52264785766602,
1,M6B,North York,Glencairn,43.709577,-79.44507259999999,10,Grattan Park,Park,43.70622161954314,-79.52170483861298,
2,M6B,North York,Glencairn,43.709577,-79.44507259999999,10,Chicken Place,Snacks,43.711381,-79.516808,
3,M6B,North York,Glencairn,43.709577,-79.44507259999999,10,Maple Leafs Movers North York : Moving Company,Moving Target,43.71294463851822,-79.52324867248535,M9N 2P3
4,M6B,North York,Glencairn,43.709577,-79.44507259999999,10,Level 100 Sports Productions,Sports Club,43.70793475007751,-79.52625274658202,M9N 2J7
0,M9B,Etobicoke,"Cloverdale,Islington,Martin Grove,Princess Gardens,West Deane Park",43.6509432,-79.55472440000001,11,Trattoria Leonardo,Italian,43.65289339411601,-79.52529976414611,
1,M9B,Etobicoke,"Cloverdale,Islington,Martin Grove,Princess Gardens,West Deane Park",43.6509432,-79.55472440000001,11,Montgomery's Inn Museum,History Museum,43.651831023293425,-79.525597213862,
2,M9B,Etobicoke,"Cloverdale,Islington,Martin Grove,Princess Gardens,West Deane Park",43.6509432,-79.55472440000001,11,Donnybrook Park,Park,43.653321988529626,-79.52024765658007,
3,M9B,Etobicoke,"Cloverdale,Islington,Martin Grove,Princess Gardens,West Deane Park",43.6509432,-79.55472440000001,11,Second Cup,Coffee Shop,43.65043179589949,-79.52716831628511,M9A 1B4
4,M9B,Etobicoke,"Cloverdale,Islington,Martin Grove,Princess Gardens,West Deane Park",43.6509432,-79.55472440000001,11,Montgomery Dry Cleaners,Apparel,43.65267627022017,-79.52524586381715,
0,M1C,Scarborough,"Highland Creek,Rouge Hill,Port Union",43.7845351,-79.16049709999999,12,Highway 407 Subway Station,Metro,43.78297713720161,-79.52359199523926,
1,M1C,Scarborough,"Highland Creek,Rouge Hill,Port Union",43.7845351,-79.16049709999999,12,AB Limo,Auto Garage,43.78807369127238,-79.52224016189575,L4K 1A3
2,M1C,Scarborough,"Highland Creek,Rouge Hill,Port Union",43.7845351,-79.16049709999999,12,Noble,Hardware,43.78162524676055,-79.51762194432501,L4K 1A7
0,M3C,North York,"Flemingdon Park,Don Mills South",43.72589970000001,-79.340923,13,Oakdale Golf and Country Club,Golf Course,43.727966085004844,-79.52231249726017,
1,M3C,North York,"Flemingdon Park,Don Mills South",43.72589970000001,-79.340923,13,Commercial Bakeries,Bakery,43.7279474149062,-79.52232014925207,
2,M3C,North York,"Flemingdon Park,Don Mills South",43.72589970000001,-79.340923,13,Hwy 401 & Hwy 400,Intersection,43.72797242773429,-79.5223015286055,
3,M3C,North York,"Flemingdon Park,Don Mills South",43.72589970000001,-79.340923,13,auctionmaxx,Discount Store,43.72710081596881,-79.52517301758158,M9M 2W6
0,M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887,14,Weston Lions Arena,Skating Rink,43.69870670108964,-79.51854809647945,
1,M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887,14,Petro-Canada,Gas Station,43.696091,-79.520962,M9P 2T5
2,M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887,14,Parma Pizza,Pizza,43.69551785568132,-79.52042015364003,M9P 2T5
3,M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887,14,Starfish Caribbean Market Ltd,Grocery Store,43.69894587598971,-79.51859191692546,M9N 1V6
4,M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887,14,West Lions Park,Soccer Field,43.698465872229214,-79.51687894119398,M9N 1G4
0,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,15,Trattoria Leonardo,Italian,43.65289339411601,-79.52529976414611,
1,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,15,Montgomery's Inn Museum,History Museum,43.651831023293425,-79.525597213862,
2,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,15,Donnybrook Park,Park,43.653321988529626,-79.52024765658007,
3,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,15,Montgomery Dry Cleaners,Apparel,43.65267627022017,-79.52524586381715,
0,M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002,16,Petro-Canada,Gas Station,43.696091,-79.520962,M9P 2T5
1,M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002,16,Parma Pizza,Pizza,43.69551785568132,-79.52042015364003,M9P 2T5
2,M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002,16,Douglas B. Ford Park,Park,43.691309553419806,-79.51674168213238,
0,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,Gourmet Bakery (Islington Station),Bakery,43.64491852702881,-79.52471129398302,
1,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,Starbucks,Coffee Shop,43.645425,-79.522439,M8X 2X3
2,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,Gojima,Japanese,43.6450937571191,-79.52167215350396,M8X 1E9
3,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,Sobeys,Grocery Store,43.645726,-79.521369,M8X 2X9
4,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,Lemongrass,Thai,43.64501004827513,-79.52237930103196,
5,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,The Beer Store,Beer Store,43.6441229,-79.5256144,M8X 1G4
6,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,A&W,Fast Food,43.645096,-79.522514,M8X 1G2
7,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,A&W,Fast Food,43.64536,-79.521563,M8X 2X4
8,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,Second Cup,Coffee Shop,43.64533056349981,-79.52275256405419,M8X 2W8
9,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,Thai Express,Thai,43.645427,-79.522446,M8X 2X3
10,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,Subway,Sandwiches,43.64501417215867,-79.52216600316655,
11,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,Tim Hortons,Coffee Shop,43.64527816413406,-79.52236337301633,M8Z 5B5
12,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,Mitzie's Jerk,Caribbean,43.6452148372177,-79.52141242658975,M8X 1E9
13,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,GoodLife Fitness,Gym,43.64554,-79.522255,M8X 2X2
14,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,Pizza Pizza,Pizza,43.64495916856127,-79.52246841231887,M8X 1G2
15,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,Orwell's,Pub,43.64488496919141,-79.52312559497283,M8X 1G2
16,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,Squire & Firkin,Pub,43.645231296334295,-79.52124579478895,M8X 1E9
17,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,Freshii,Gluten-free,43.645411282104604,-79.52263814541413,M8X 2X2
18,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999,17,Sushi Express,Sushi,43.645432647801336,-79.52557525452383,
0,M1E,Scarborough,"Guildwood,Morningside,West Hill",43.7635726,-79.1887115,18,Petro-Canada,Gas Station,43.766586,-79.51987,M3N 2L2
1,M1E,Scarborough,"Guildwood,Morningside,West Hill",43.7635726,-79.1887115,18,Rexall,Pharmacy,43.76659,-79.519852,M3N 2L3
2,M1E,Scarborough,"Guildwood,Morningside,West Hill",43.7635726,-79.1887115,18,Basketball Court,Basketball Court,43.76683682614104,-79.52210012265873,
3,M1E,Scarborough,"Guildwood,Morningside,West Hill",43.7635726,-79.1887115,18,LCBO,Liquor Store,43.759256617873106,-79.51945388294175,M3N 3A1
0,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312,19,TTC Bus 73 Royal York,Bus,43.6772463547691,-79.51962956928409,
1,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312,19,Pasta International,Indian,43.6727027413364,-79.51922329410428,
2,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312,19,Allanhurst Park,Playground,43.67896841669573,-79.52500430987637,
3,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312,19,A Dog's Haven,Dog Run,43.672945960724896,-79.51792643640067,M9A 4P5
0,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Gourmet Bakery (Islington Station),Bakery,43.64491852702881,-79.52471129398302,
1,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Starbucks,Coffee Shop,43.645425,-79.522439,M8X 2X3
2,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Sobeys,Grocery Store,43.645726,-79.521369,M8X 2X9
3,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Gojima,Japanese,43.6450937571191,-79.52167215350396,M8X 1E9
4,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Lemongrass,Thai,43.64501004827513,-79.52237930103196,
5,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,The Beer Store,Beer Store,43.6441229,-79.5256144,M8X 1G4
6,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,A&W,Fast Food,43.645096,-79.522514,M8X 1G2
7,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,A&W,Fast Food,43.64536,-79.521563,M8X 2X4
8,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Second Cup,Coffee Shop,43.64533056349981,-79.52275256405419,M8X 2W8
9,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Thai Express,Thai,43.645427,-79.522446,M8X 2X3
10,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Subway,Sandwiches,43.64501417215867,-79.52216600316655,
11,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Tim Hortons,Coffee Shop,43.64527816413406,-79.52236337301633,M8Z 5B5
12,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,GoodLife Fitness,Gym,43.64554,-79.522255,M8X 2X2
13,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Mitzie's Jerk,Caribbean,43.6452148372177,-79.52141242658975,M8X 1E9
14,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Pizza Pizza,Pizza,43.64495916856127,-79.52246841231887,M8X 1G2
15,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Orwell's,Pub,43.64488496919141,-79.52312559497283,M8X 1G2
16,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Squire & Firkin,Pub,43.645231296334295,-79.52124579478895,M8X 1E9
17,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Freshii,Gluten-free,43.645411282104604,-79.52263814541413,M8X 2X2
18,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Sushi Express,Sushi,43.645432647801336,-79.52557525452383,
19,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,20,Mabelle Convenience,Convenience Store,43.64649806233653,-79.52670066379756,
0,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,21,LaRose Bakery,Bakery,43.6868346398581,-79.52443561640371,
1,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,21,Pizza Pizza,Pizza,43.68525618478996,-79.5235824225805,M9P 1B2
2,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,21,Moxie's Classic Grill,Restaurant,43.68687,-79.524454,
3,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,21,Mac's Milk,Convenience Store,43.68557185191021,-79.52369771156515,
0,M1G,Scarborough,Woburn,43.7709921,-79.21691740000001,22,Black Creek Pioneer Village,Historic Site,43.773393430343425,-79.51699139740164,M3J 3P1
1,M1G,Scarborough,Woburn,43.7709921,-79.21691740000001,22,Tri Star Restaurant,Chinese,43.76933638194449,-79.52024995897516,M3N 2L2
2,M1G,Scarborough,Woburn,43.7709921,-79.21691740000001,22,Petro-Canada,Gas Station,43.766586,-79.51987,M3N 2L2
3,M1G,Scarborough,Woburn,43.7709921,-79.21691740000001,22,John Booth Memorial Arena,Skating Rink,43.769548855413575,-79.52324753470374,
0,M4G,East York,Leaside,43.7090604,-79.3634517,23,Chicken Place,Snacks,43.711381,-79.516808,
1,M4G,East York,Leaside,43.7090604,-79.3634517,23,Maple Leafs Movers North York : Moving Company,Moving Target,43.71294463851822,-79.52324867248535,M9N 2P3
0,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,24,Bulk Barn,Supermarket,43.66093887342527,-79.51777280977804,
1,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,24,Shoppers Drug Mart,Pharmacy,43.661721,-79.518881,M9A 3T7
2,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,24,LCBO,Liquor Store,43.66129764810834,-79.51815020642661,M9A 3T6
3,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,24,Loblaws,Grocery Store,43.661721,-79.518881,M9A 3T7
4,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,24,Humbertown Village Spa,Spa,43.661428039626685,-79.5192891766887,M9A 3T7
5,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,24,Black's Photography,Camera Store,43.661490294225544,-79.51931662775152,M9A 3T7
6,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,24,Alex Farm Produce,Restaurant,43.66152815366217,-79.51889937070585,
7,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,24,Baskin-Robbins,Ice Cream,43.661654485684906,-79.51919035279421,M9A
0,M6G,Downtown Toronto,Christie,43.669542,-79.4225637,25,McDonald's,Fast Food,43.671091716525275,-79.52665125587696,
1,M6G,Downtown Toronto,Christie,43.669542,-79.4225637,25,Edgehill House,Park,43.670761782876156,-79.51687894119398,
2,M6G,Downtown Toronto,Christie,43.669542,-79.4225637,25,TTC Stop #6972,Bus Stop,43.666139,-79.519814,
3,M6G,Downtown Toronto,Christie,43.669542,-79.4225637,25,A Dog's Haven,Dog Run,43.672945960724896,-79.51792643640067,M9A 4P5
0,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999,26,Black Creek Pioneer Village,Historic Site,43.773393430343425,-79.51699139740164,M3J 3P1
1,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999,26,Cuscatlan,Latin American,43.77484812785402,-79.52625419919369,M3H 5T8
2,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999,26,Black Creek Restaurant,Gastropub,43.77530076234947,-79.51826799128665,
3,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999,26,Black Creek Historic Brewery,Brewery,43.77512232622267,-79.51683282852173,M3J 2P3
4,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999,26,Tri Star Restaurant,Chinese,43.76933638194449,-79.52024995897516,M3N 2L2
5,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999,26,John Booth Memorial Arena,Skating Rink,43.769548855413575,-79.52324753470374,
6,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999,26,Com Pho The Ky,Restaurant,43.77476978532541,-79.52606384854815,
0,M2H,North York,Hillcrest Village,43.8037622,-79.3634517,27,St. Joseph's,Print Shop,43.804702869879684,-79.52368124171912,
1,M2H,North York,Hillcrest Village,43.8037622,-79.3634517,27,North Toronto Paints,Construction,43.80416,-79.52598,L4K 4L7
0,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,28,Pho Com Viet Nam,Vietnamese,43.75663119859895,-79.51833633068185,M3N 2V3
1,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,28,Shoppers Drug Mart,Pharmacy,43.756147,-79.515843,M3N 2K1
2,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,28,Pizza Hut,Pizza,43.75633958118749,-79.51781778764257,M3N 2V3
3,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,28,KFC,Fast Food,43.7566,-79.5181,M3N 2V3
4,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,28,The Beer Store,Beer Store,43.7560941,-79.5162392,M3N 2V3
5,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,28,No Frills,Grocery Store,43.758178,-79.51968,M3N 3A1
6,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,28,Popeyes Louisiana Kitchen,Fried Chicken,43.75660425382002,-79.51604685393343,M3N 2K1
7,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,28,Subway,Sandwiches,43.75617104020033,-79.5182508987524,M3N 2V3
8,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,28,Petro-Canada,Gas Station,43.757187,-79.517778,M3N 2Z2
9,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,28,Pizza Pizza,Pizza,43.756185976894656,-79.5154595375061,M3N 2H1
10,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,28,Tim Hortons,Coffee Shop,43.75434420900222,-79.52702411134463,M3N 1N1
11,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,28,Tim Hortons,Coffee Shop,43.7561284,-79.5162657,M3N 2K1
12,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,28,Planet Fitness,Gym / Fitness,43.757538,-79.51961,
13,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,28,Dollarama,Discount Store,43.758177,-79.519679,M3N 3A1
14,M3H,North York,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593,28,Jian Hing Supermarket,Grocery Store,43.75667320052111,-79.51844367991136,M3N 2K2
