,latitude,longitude,x,y,distance
64,42.31869905039335,-74.16245194084807,569016.7852150269,4685501.632130234,49303.746054432755
65,42.31847345846548,-74.13211669467442,571516.7852150269,4685501.632130234,47889.03188622624
66,42.318239842821384,-74.10178180256857,574016.7852150269,4685501.632130234,46565.64586688339
67,42.31799820372822,-74.0714472768984,576516.7852150269,4685501.632130234,45341.5854927901
68,42.31774854146239,-74.04111313003094,579016.7852150269,4685501.632130234,44225.09892583615
69,42.31749085630944,-74.01077937433215,581516.7852150269,4685501.632130234,43224.522842941755
70,42.31722514856407,-73.98044602216703,584016.7852150269,4685501.632130234,42348.07404121224
71,42.31695141853018,-73.95011308589956,586516.7852150269,4685501.632130234,41603.598101606476
72,42.31666966652082,-73.91978057789262,589016.7852150269,4685501.632130234,40998.28502510799
73,42.31637989285821,-73.88944851050799,591516.7852150269,4685501.632130234,40538.369170453734
